variant_id,truncation_rule,units_per_chain,residues_per_chain,total_residue_count,total_atom_count,chains_included,residue_ranges_by_chain,axial_selection_rule,notes,warnings
literal_first4_units,first 4 base/GLU repeat units by residue order in each chain,4,A:8;B:8;C:8;D:8;E:8;F:8,48,960,"A,B,C,D,E,F",A:1-8;B:31-38;C:61-68;D:91-98;E:121-128;F:151-158,residue-order units 1-4 per chain,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
lower_end_first4_units,4 base/GLU repeat units closest to the lower fitted-axis coordinate end in each chain,4,A:8;B:8;C:8;D:8;E:8;F:8,48,957,"A,B,C,D,E,F",A:23-30;B:31-38;C:83-90;D:91-98;E:143-150;F:151-158,sort units by axial coordinate ascending within each chain; take first 4,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
central4_units,4 base/GLU repeat units nearest the fitted-axis center of the full hexaplex,4,A:8;B:8;C:8;D:8;E:8;F:8,48,948,"A,B,C,D,E,F",A:11-18;B:41-48;C:71-78;D:101-108;E:131-138;F:161-168,rank units in each chain by absolute distance from full-hexaplex axial center; take nearest 4,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
literal_first5_units,first 5 base/GLU repeat units by residue order in each chain,5,A:10;B:10;C:10;D:10;E:10;F:10,60,1197,"A,B,C,D,E,F",A:1-10;B:31-40;C:61-70;D:91-100;E:121-130;F:151-160,residue-order units 1-5 per chain,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
lower_end_first5_units,5 base/GLU repeat units closest to the lower fitted-axis coordinate end in each chain,5,A:10;B:10;C:10;D:10;E:10;F:10,60,1194,"A,B,C,D,E,F",A:21-30;B:31-40;C:81-90;D:91-100;E:141-150;F:151-160,sort units by axial coordinate ascending within each chain; take first 5,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
central5_units,5 base/GLU repeat units nearest the fitted-axis center of the full hexaplex,5,A:10;B:10;C:10;D:10;E:10;F:10,60,1185,"A,B,C,D,E,F",A:11-20;B:41-50;C:71-80;D:101-110;E:131-140;F:161-170,rank units in each chain by absolute distance from full-hexaplex axial center; take nearest 5,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
literal_first6_units,first 6 base/GLU repeat units by residue order in each chain,6,A:12;B:12;C:12;D:12;E:12;F:12,72,1434,"A,B,C,D,E,F",A:1-12;B:31-42;C:61-72;D:91-102;E:121-132;F:151-162,residue-order units 1-6 per chain,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
lower_end_first6_units,6 base/GLU repeat units closest to the lower fitted-axis coordinate end in each chain,6,A:12;B:12;C:12;D:12;E:12;F:12,72,1431,"A,B,C,D,E,F",A:19-30;B:31-42;C:79-90;D:91-102;E:139-150;F:151-162,sort units by axial coordinate ascending within each chain; take first 6,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
central6_units,6 base/GLU repeat units nearest the fitted-axis center of the full hexaplex,6,A:12;B:12;C:12;D:12;E:12;F:12,72,1422,"A,B,C,D,E,F",A:9-20;B:39-50;C:69-80;D:99-110;E:129-140;F:159-170,rank units in each chain by absolute distance from full-hexaplex axial center; take nearest 6,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
literal_first7_units,first 7 base/GLU repeat units by residue order in each chain,7,A:14;B:14;C:14;D:14;E:14;F:14,84,1671,"A,B,C,D,E,F",A:1-14;B:31-44;C:61-74;D:91-104;E:121-134;F:151-164,residue-order units 1-7 per chain,coordinates preserved from baseline; original residue numbering preserved; output atom serials regenerated by write_pdb_atoms; input_pdb=outputs/intermediates/ai_candidate_inputs/full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,
