candidate_id,candidate_family,parameter_value,model_path,profile_path,status,reason
full_length_twist_24,full_length_twist_variant,24 deg,outputs\length_twist_diffraction\structures\full_length_twist_24.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_24_radial.csv,unavailable,"No coordinate/profile files were found for this twist. The repo contains a pNAB twist helper, but no current-model baseline YAML with HelicalParameters.h_twist and CYP content was found. Also, python cannot import pnab."
full_length_twist_26,full_length_twist_variant,26 deg,outputs\length_twist_diffraction\structures\full_length_twist_26.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_26_radial.csv,unavailable,"No coordinate/profile files were found for this twist. The repo contains a pNAB twist helper, but no current-model baseline YAML with HelicalParameters.h_twist and CYP content was found. Also, python cannot import pnab."
full_length_twist_28,full_length_twist_variant,28 deg,outputs\length_twist_diffraction\structures\full_length_twist_28.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_28_radial.csv,unavailable,"No coordinate/profile files were found for this twist. The repo contains a pNAB twist helper, but no current-model baseline YAML with HelicalParameters.h_twist and CYP content was found. Also, python cannot import pnab."
full_length_twist_30,full_length_twist_variant,30 deg,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,outputs\mini_hexaplex\radial_profiles\full_length_baseline_radial.csv,located,Coordinate and radial-profile files are present.
full_length_twist_32,full_length_twist_variant,32 deg,outputs\length_twist_diffraction\structures\full_length_twist_32.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_32_radial.csv,unavailable,"No coordinate/profile files were found for this twist. The repo contains a pNAB twist helper, but no current-model baseline YAML with HelicalParameters.h_twist and CYP content was found. Also, python cannot import pnab."
full_length_twist_34,full_length_twist_variant,34 deg,outputs\length_twist_diffraction\structures\full_length_twist_34.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_34_radial.csv,unavailable,"No coordinate/profile files were found for this twist. The repo contains a pNAB twist helper, but no current-model baseline YAML with HelicalParameters.h_twist and CYP content was found. Also, python cannot import pnab."
full_length_twist_36,full_length_twist_variant,36 deg,outputs\length_twist_diffraction\structures\full_length_twist_36.pdb,outputs\mini_hexaplex\radial_profiles\full_length_twist_36_radial.csv,unavailable,"No coordinate/profile files were found for this twist. The repo contains a pNAB twist helper, but no current-model baseline YAML with HelicalParameters.h_twist and CYP content was found. Also, python cannot import pnab."
rise_3p20_synthetic_control,rise_variant,3.20 A,outputs\rise_variants\structures\hexaflex_rise_3p20.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p20_radial.csv,unavailable,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p30_synthetic_control,rise_variant,3.30 A,outputs\rise_variants\structures\hexaflex_rise_3p30.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p30_radial.csv,unavailable,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p35_synthetic_control,rise_variant,3.35 A,outputs\rise_variants\structures\hexaflex_rise_3p35.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p35_radial.csv,unavailable,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p40_synthetic_control,rise_variant,3.40 A,outputs\rise_variants\structures\hexaflex_rise_3p40.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p40_radial.csv,unavailable,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p50_synthetic_control,rise_variant,3.50 A,outputs\rise_variants\structures\hexaflex_rise_3p50.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p50_radial.csv,unavailable,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
rise_3p60_synthetic_control,rise_variant,3.60 A,outputs\rise_variants\structures\hexaflex_rise_3p60.pdb,outputs\rise_variants\radial_profiles\hexaflex_rise_3p60_radial.csv,unavailable,No coordinate/profile files were found for this rise. No safe existing rise-generation workflow or audited stack-axis transform was found in this repo.
