source_file,metric,metric_label,unit6_value,unit7_value,difference_7_minus_6,fractional_difference_7_minus_6,classification,reasoning_category,interpretation
outputs\metrics\seed_contact_network_summary.csv,total_interchain_contacts,total interchain contacts,1740.000000,2256.000000,516.000000,0.296552,favors_7,absolute_network_growth,total interchain contacts compares absolute/static contact-network growth between central 6- and 7-unit seeds.
outputs\metrics\seed_contact_network_summary.csv,CYP_MEP_contact_count,CYP/MEP-involving contacts,1605.000000,2067.000000,462.000000,0.287850,favors_7,absolute_network_growth,CYP/MEP-involving contacts compares absolute/static contact-network growth between central 6- and 7-unit seeds.
outputs\metrics\seed_contact_network_summary.csv,GLU_contact_count,GLU-involving contacts,150.000000,210.000000,60.000000,0.400000,favors_7,absolute_network_growth,GLU-involving contacts compares absolute/static contact-network growth between central 6- and 7-unit seeds.
outputs\metrics\seed_contact_network_summary.csv,backbone_like_contact_count,backbone-like contacts,132.000000,180.000000,48.000000,0.363636,favors_7,absolute_network_growth,backbone-like contacts compares absolute/static contact-network growth between central 6- and 7-unit seeds.
outputs\metrics\seed_contact_network_summary.csv,contacts_per_unit,contacts per unit,290.000000,322.285714,32.285714,0.111330,favors_7,possible_edge_effect,contacts per unit compares absolute/static contact-network growth between central 6- and 7-unit seeds.
outputs\metrics\seed_contact_network_summary.csv,contacts_per_chain_pair_mean,contacts per chain pair mean,116.000000,150.400000,34.400000,0.296552,favors_7,possible_edge_effect,contacts per chain pair mean compares absolute/static contact-network growth between central 6- and 7-unit seeds.
outputs\metrics\seed_contact_network_summary.csv,contacts_per_chain_pair_max,contacts per chain pair max,304.000000,442.000000,138.000000,0.453947,favors_7,possible_edge_effect,contacts per chain pair max compares absolute/static contact-network growth between central 6- and 7-unit seeds.
outputs\metrics\seed_contact_network_summary.csv,CYP_MEP_contact_fraction,CYP/MEP contact fraction,0.922414,0.916223,-0.006191,-0.006712,favors_6,normalized_fraction,"CYP/MEP contact fraction is a normalized or perturbation-retention metric, so it can move differently from raw counts."
outputs\metrics\seed_contact_network_summary.csv,perturbation_contact_fraction_vs_reference_mean,perturbation contact retention,0.801724,0.784427,-0.017297,-0.021575,favors_6,perturbation_retention,"perturbation contact retention is a normalized or perturbation-retention metric, so it can move differently from raw counts."
outputs\metrics\seed_contact_network_summary.csv,perturbation_contact_fraction_vs_reference_std,perturbation contact retention variability,0.023336,0.039299,0.015963,0.684050,favors_6,perturbation_retention,"perturbation contact retention variability is a normalized or perturbation-retention metric, so it can move differently from raw counts."
outputs\metrics\seed_contact_network_summary.csv,contact_redundancy_score,contact redundancy score,0.899823,1.000000,0.100177,0.111330,favors_7,normalized_fraction,"contact redundancy score is a normalized or perturbation-retention metric, so it can move differently from raw counts."
outputs\metrics\seed_contact_network_summary.csv,nucleation_network_score,network score,0.840023,0.891949,0.051926,0.061815,favors_7,normalized_fraction,"network score is a normalized or perturbation-retention metric, so it can move differently from raw counts."
