variant_id,units_per_chain,truncation_rule,chain_count,residues_per_chain,total_residue_count,total_atom_count,axial_extent_A,radial_extent_min_A,radial_extent_max_A,radial_extent_mean_A,min_heavy_atom_distance_A,suspicious_overlap_count,structural_coherence_flag,compactness_coherence_note,chain_direction_notes,warnings
literal_first4_units,4,first 4 base/GLU repeat units by residue order in each chain,6,A:8;B:8;C:8;D:8;E:8;F:8,48,960,49.450261,2.287653,16.564068,10.006010,1.228067,0,not_compact/control_only,sequence-order control; geometry is less physically meaningful in anti-parallel strands,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
lower_end_first4_units,4,4 base/GLU repeat units closest to the lower fitted-axis coordinate end in each chain,6,A:8;B:8;C:8;D:8;E:8;F:8,48,957,18.214105,2.287653,16.564594,10.000048,1.228067,0,not_compact/control_only,very short truncation with axial extent 18.21 A,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
central4_units,4,4 base/GLU repeat units nearest the fitted-axis center of the full hexaplex,6,A:8;B:8;C:8;D:8;E:8;F:8,48,948,15.451115,2.287445,16.564195,9.987327,1.228196,0,not_compact/control_only,very short truncation with axial extent 15.45 A,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
literal_first5_units,5,first 5 base/GLU repeat units by residue order in each chain,6,A:10;B:10;C:10;D:10;E:10;F:10,60,1197,49.450261,2.287653,16.564233,10.002300,1.228067,0,not_compact/control_only,sequence-order control; geometry is less physically meaningful in anti-parallel strands,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
lower_end_first5_units,5,5 base/GLU repeat units closest to the lower fitted-axis coordinate end in each chain,6,A:10;B:10;C:10;D:10;E:10;F:10,60,1194,21.612887,2.287653,16.564594,9.997515,1.228067,0,not_compact/control_only,very short truncation with axial extent 21.61 A,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
central5_units,5,5 base/GLU repeat units nearest the fitted-axis center of the full hexaplex,6,A:10;B:10;C:10;D:10;E:10;F:10,60,1185,21.612096,2.287445,16.564195,9.987323,1.228196,0,not_compact/control_only,very short truncation with axial extent 21.61 A,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
literal_first6_units,6,first 6 base/GLU repeat units by residue order in each chain,6,A:12;B:12;C:12;D:12;E:12;F:12,72,1434,49.450261,2.287445,16.564233,9.999821,1.228067,0,not_compact/control_only,sequence-order control; geometry is less physically meaningful in anti-parallel strands,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
lower_end_first6_units,6,6 base/GLU repeat units closest to the lower fitted-axis coordinate end in each chain,6,A:12;B:12;C:12;D:12;E:12;F:12,72,1431,25.013991,2.287445,16.564594,9.995823,1.228067,0,borderline,six-strand geometry retained but short with axial extent 25.01 A,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
central6_units,6,6 base/GLU repeat units nearest the fitted-axis center of the full hexaplex,6,A:12;B:12;C:12;D:12;E:12;F:12,72,1422,22.250214,2.287445,16.564233,9.987315,1.228196,0,borderline,six-strand geometry retained but short with axial extent 22.25 A,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
literal_first7_units,7,first 7 base/GLU repeat units by residue order in each chain,6,A:14;B:14;C:14;D:14;E:14;F:14,84,1671,49.450261,2.287445,16.564233,9.998052,1.228067,0,not_compact/control_only,sequence-order control; geometry is less physically meaningful in anti-parallel strands,"A:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; B:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; C:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.038; D:residue order aligned with increasing axial coordinate; unit1_t=-22.609, unit15_t=25.030; E:residue order anti-aligned with increasing axial coordinate; unit1_t=22.604, unit15_t=-25.037; F:residue order aligned with increasing axial coordinate; unit1_t=-22.610, unit15_t=25.030",
