unit_count,feature,threshold_mode,threshold_fraction,loose_mean,formed_mean,threshold_value,mean_activation_time,median_activation_time,std_activation_time,fraction_crossed,mean_rank,median_rank,first_feature_frequency,second_feature_frequency,interpretation_note,warnings
4,compactness_score,formed_fraction,0.50,0.546209,0.995587,0.770898,0.521000,0.550000,0.043116,1.000000,4.050000,4.000000,0.070000,0.260000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,contact_fraction_vs_target,formed_fraction,0.50,0.004777,0.801163,0.402970,0.527000,0.500000,0.039000,1.000000,4.030000,3.750000,0.020000,0.170000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.50,0.004742,0.807992,0.406367,0.526000,0.500000,0.036387,1.000000,3.995000,4.000000,0.300000,0.210000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,axial_register_score,formed_fraction,0.50,0.421120,0.891062,0.656091,0.516500,0.550000,0.111368,1.000000,4.150000,4.750000,0.270000,0.150000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,rmsd_formedness_score,formed_fraction,0.50,0.208897,0.897383,0.553140,0.517500,0.500000,0.026810,1.000000,3.685000,3.500000,0.000000,0.120000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,seed_formation_score,formed_fraction,0.50,0.344769,0.910988,0.627878,0.524500,0.500000,0.029576,1.000000,4.005000,4.000000,0.000000,0.020000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,refined_angular_phase_score,formed_fraction,0.50,0.700060,0.997902,0.848981,0.474000,0.550000,0.199810,1.000000,4.085000,4.250000,0.340000,0.070000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,compactness_score,formed_fraction,0.75,0.546209,0.995587,0.883242,0.775500,0.800000,0.028718,1.000000,4.085000,4.000000,0.060000,0.280000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,contact_fraction_vs_target,formed_fraction,0.75,0.004777,0.801163,0.602066,0.779500,0.750000,0.053896,1.000000,4.040000,3.500000,0.040000,0.170000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
4,CYP_MEP_contact_fraction_vs_target,formed_fraction,0.75,0.004742,0.807992,0.607179,0.779500,0.775000,0.052486,1.000000,4.070000,4.000000,0.360000,0.180000,earlier activation means this oriented order parameter reaches the formed-fraction threshold sooner along paired linear bridge paths,
