file,target_omega_deg,measured_omega_proxy_deg,omega_proxy_count,canonical_ca_c_np_cap_omega_deg,canonical_omega_count,omega_deviation_from_180_deg,asem_n_ca_next_c_angle_deg,measured_n_ca_next_c_angle_deg,measured_angle_proxy_atoms,measured_angle_proxy_count,n_ca_next_c_angle_increase_from_167_deg,atom_count,heavy_atom_count,element_counts,residue_count,rmsd_to_original_A,max_displacement_to_original_A,changed_atom_count_gt_1e4_A,changed_atom_names,fixed_atom_fraction,best_backbone_hbond_distance_A,best_backbone_hbond_HO_distance_A,best_backbone_hbond_NHO_angle_deg,hbond_plausible_flag,min_heavy_nonbonded_distance_A,clash_count_lt_2p0,clash_count_lt_2p2,clash_count_lt_2p5,qualitative_status,notes
1_558214.pdb,,169.80202791045247,6,179.97102725615485,90,,,113.18941864058456,CB-C'-O',90,,2847,1806,C:900;H:1041;N:591;O:315,90,0.0,0.0,0,,1.0,3.7087720339756642,2.8590428468282867,142.14624575541168,False,1.4666826514280453,84,84,294,original_baseline,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega167.pdb,167,169.80202791045247,6,179.97102725615485,90,13.0,113.01,113.25082988165923,CB-C'-O',90,0.0,2847,1806,C:900;H:1041;N:591;O:315,90,0.039640055951363024,0.229322916430088,252,H'':84;N'':84;O':84,0.9114857744994731,2.773617493455078,2.8382459371943107,75.63389415632966,False,1.4671676795785817,84,84,252,original_baseline,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega168.pdb,168,169.80202791045247,6,179.97102725615485,90,12.0,113.81,113.67407832723842,CB-C'-O',90,0.7999999999999972,2847,1806,C:900;H:1041;N:591;O:315,90,0.03036467268691059,0.174625313170802,252,H'':84;N'':84;O':84,0.9114857744994731,2.7903954916821414,2.879138760115603,74.48855681451045,False,1.466647878667542,84,84,294,ambiguous_requires_visual_review,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega169.pdb,169,169.80202791045247,6,179.97102725615485,90,11.0,114.62,114.23016727700772,CB-C'-O',90,1.6099999999999994,2847,1806,C:900;H:1041;N:591;O:315,90,0.022530843707226484,0.11993748371547985,252,H'':84;N'':84;O':84,0.9114857744994731,2.8075455472707875,2.920613976546713,73.33352595627562,False,1.4664780939379902,84,84,294,ambiguous_requires_visual_review,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega170.pdb,170,169.80202791045247,6,179.97102725615485,90,10.0,115.43,115.1124293295126,CB-C'-O',90,2.4200000000000017,2847,1806,C:900;H:1041;N:591;O:315,90,0.018092413902376144,0.06640783086354,252,H'':84;N'':84;O':84,0.9114857744994731,2.825421207537032,2.9620872708277877,72.21924103922944,False,1.4668626384225627,84,126,294,omega_improved_modest_angle_strain,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega171.pdb,171,169.80202791045247,6,179.97102725615485,90,9.0,116.25,115.93327473128012,CB-C'-O',90,3.239999999999995,2847,1806,C:900;H:1041;N:591;O:315,90,0.019324126049030856,0.08041765975207478,252,H'':84;N'':84;O':84,0.9114857744994731,2.8423052263963537,3.002103429264223,71.12168072856625,False,1.4665159392246645,84,126,294,omega_improved_modest_angle_strain,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega172.pdb,172,169.80202791045247,6,179.97102725615485,90,8.0,117.08,116.81392860529971,CB-C'-O',90,4.069999999999993,2847,1806,C:900;H:1041;N:591;O:315,90,0.025567887964733534,0.10282023147221828,252,H'':84;N'':84;O':84,0.9114857744994731,2.860622484705039,3.043052086310719,70.05039539351378,False,1.466853435077957,84,126,294,likely_best_compromise,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega173.pdb,173,169.80202791045247,6,179.97102725615485,90,7.0,117.91,117.65676807275356,CB-C'-O',90,4.8999999999999915,2847,1806,C:900;H:1041;N:591;O:315,90,0.03405239872312564,0.12481185841097003,252,H'':84;N'':84;O':84,0.9114857744994731,2.8776082082173757,3.0837350729269843,68.91760812218345,False,1.466559920357842,84,126,294,omega_improved_modest_angle_strain,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega174.pdb,174,169.80202791045247,6,179.97102725615485,90,6.0,118.75,118.5128215699861,CB-C'-O',90,5.739999999999995,2847,1806,C:900;H:1041;N:591;O:315,90,0.04353533743869392,0.1595524991969749,252,H'':84;N'':84;O':84,0.9114857744994731,2.895868090918511,3.1247198274405354,67.83585559612662,False,1.4668050313521561,84,126,294,omega_improved_high_angle_strain,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega175.pdb,175,169.80202791045247,6,179.97102725615485,90,5.0,119.59,119.3541652919387,CB-C'-O',90,6.579999999999998,2847,1806,C:900;H:1041;N:591;O:315,90,0.0534303297809284,0.21373815756668252,252,H'':84;N'':84;O':84,0.9114857744994731,2.912927393533861,3.16350912753543,66.79371316133012,False,1.4663560277095053,84,126,294,omega_improved_high_angle_strain,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
1_558214_omega176.pdb,176,169.80202791045247,6,179.97102725615485,90,4.0,120.43,120.18147651965849,CB-C'-O',90,7.420000000000002,2847,1806,C:900;H:1041;N:591;O:315,90,0.06353844367844574,0.2678227025477874,252,H'':84;N'':84;O':84,0.9114857744994731,2.930566839367425,3.2038155377611854,65.70467817724308,False,1.4663219291819922,84,126,294,omega_improved_high_angle_strain,Asem target omega and N-CA(next)-C angle are taken from the provided table. The prior Nick-note omega proxy N-CA-C-N' is reported for continuity with commit 4daaa45 but is constant in this exported series. The moving angle diagnostic that tracks Asem's table is measured as CB-C'-O' because the exported atom names do not expose the literal N-CA(next)-C mapping.
