distance_band,atom_class_pair,metric,value_29,value_30,value_31,delta_31_vs_30,delta_31_vs_29,supports_overrotation_hypothesis,interpretation
base_stack_3p2_3p6,backbone|backbone,hist_peak_distance_A,3.29,3.29,3.39,0.1,0.1,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
base_stack_3p2_3p6,backbone|side_chain_or_carboxylate,hist_peak_distance_A,3.57,3.57,3.43,-0.14,-0.14,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_3p77_3p6_3p95,backbone|side_chain_or_carboxylate,hist_peak_distance_A,3.67,3.67,3.91,0.24,0.24,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_3p77_3p6_3p95,backbone|side_chain_or_carboxylate,pair_count,48,48,64,16,16,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_3p77_3p6_3p95,base_core|side_chain_or_carboxylate,median_distance_A,3.86600543197,3.8934063492,3.83083391704,-0.06257243216,-0.03517151493,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_3p77_3p6_3p95,base_core|side_chain_or_carboxylate,pair_count,91,97,68,-29,-23,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_4p4_4p15_4p65,backbone|side_chain_or_carboxylate,median_distance_A,4.38005821879,4.37548122992,4.48825907207,0.11277784215,0.10820085328,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_5p6_5p35_5p85,backbone|side_chain_or_carboxylate,hist_peak_distance_A,5.6,5.6,5.36,-0.24,-0.24,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_5p6_5p35_5p85,base_core|base_core,pair_count,488,514,359,-155,-129,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_5p6_5p35_5p85,base_core|side_chain_or_carboxylate,hist_peak_distance_A,5.46,5.46,5.38,-0.08,-0.08,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_7p3_7p0_7p6,backbone|base_core,pair_count,763,724,909,185,146,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
feature_7p3_7p0_7p6,side_chain_or_carboxylate|side_chain_or_carboxylate,pair_count,145,145,184,39,39,yes,"29 and 30 are similar while 31 changes, consistent with a 31-specific registry shift."
base_stack_3p2_3p6,backbone|backbone,pair_count,81,57,95,38,14,contextual,"31 changes strongly, but 29/30 similarity is weaker; treat as contextual."
base_stack_3p2_3p6,backbone|side_chain_or_carboxylate,pair_count,48,60,90,30,42,contextual,"31 changes strongly, but 29/30 similarity is weaker; treat as contextual."
feature_4p4_4p15_4p65,backbone|backbone,pair_count,146,186,124,-62,-22,contextual,"31 changes strongly, but 29/30 similarity is weaker; treat as contextual."
feature_4p4_4p15_4p65,backbone|base_core,pair_count,60,42,109,67,49,contextual,"31 changes strongly, but 29/30 similarity is weaker; treat as contextual."
feature_7p3_7p0_7p6,backbone|backbone,pair_count,290,214,339,125,49,contextual,"31 changes strongly, but 29/30 similarity is weaker; treat as contextual."
