candidate_id,candidate_label,candidate_family,candidate_role,status,model_path,profile_path,reason
central6_units_30deg,"6-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,available,outputs\mini_hexaplex\structures\mini_hexaplex_central6_units.pdb,outputs\mini_hexaplex\radial_profiles\central6_units_radial.csv,
central7_units_30deg,"7-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,available,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,outputs\mini_hexaplex\radial_profiles\central7_units_radial.csv,
central8_units_30deg,"8-unit formed endpoint, central 30-degree model",existing_hxc590_scored,candidate,available,outputs\mini_hexaplex\structures\mini_hexaplex_central8_units.pdb,outputs\mini_hexaplex\radial_profiles\central8_units_radial.csv,
central12_units_30deg,12-unit central 30-degree model,existing_hxc590_scored,candidate,available,outputs\mini_hexaplex\structures\mini_hexaplex_central12_units.pdb,outputs\mini_hexaplex\radial_profiles\central12_units_radial.csv,
full_length_twist_30,Full-length anti-parallel 30-degree model,full_length_twist_variant,candidate,available,outputs\intermediates\ai_candidate_inputs\full_hexaplex_anti_parallel_30deg_ideal_deduped_6chain.pdb,outputs\mini_hexaplex\radial_profiles\full_length_baseline_radial.csv,
base_length_scale_0p85,Base-length variant scale 0.85,base_length_variant,candidate,available,outputs\base_length_sweep\structures\hexaplex_base_length_scale_0p85.pdb,outputs\base_length_sweep\radial_profiles\hexaplex_base_length_scale_0p85_radial.csv,
base_length_scale_0p90,Base-length variant scale 0.90,base_length_variant,candidate,available,outputs\base_length_sweep\structures\hexaplex_base_length_scale_0p90.pdb,outputs\base_length_sweep\radial_profiles\hexaplex_base_length_scale_0p90_radial.csv,
base_length_scale_0p95,Base-length variant scale 0.95,base_length_variant,candidate,available,outputs\base_length_sweep\structures\hexaplex_base_length_scale_0p95.pdb,outputs\base_length_sweep\radial_profiles\hexaplex_base_length_scale_0p95_radial.csv,
base_length_scale_1p00,Base-length variant scale 1.00,base_length_variant,candidate,available,outputs\base_length_sweep\structures\hexaplex_base_length_scale_1p00.pdb,outputs\base_length_sweep\radial_profiles\hexaplex_base_length_scale_1p00_radial.csv,
base_length_scale_1p05,Base-length variant scale 1.05,base_length_variant,candidate,available,outputs\base_length_sweep\structures\hexaplex_base_length_scale_1p05.pdb,outputs\base_length_sweep\radial_profiles\hexaplex_base_length_scale_1p05_radial.csv,
base_length_scale_1p10,Base-length variant scale 1.10,base_length_variant,candidate,available,outputs\base_length_sweep\structures\hexaplex_base_length_scale_1p10.pdb,outputs\base_length_sweep\radial_profiles\hexaplex_base_length_scale_1p10_radial.csv,
